Year,DOY,Species,Fgroup,Cond_night,Trmmol_night,Photo,Cond_day,Trmmol_day,Percent_cond,Percent_trmmol,PD,MD,Soil_moisture,TAIR_N,VPD_N,TAIR_D,VPD_D,
2014,169,AG,grass,0.027277601,0.605764342,24.99938294,0.186163399,5.554907369,14.65250467,10.90503049,-0.2,-0.95,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,AG,grass,0.016810235,0.374118061,20.53081786,0.162238712,5.197784254,10.36142041,7.197645042,-0.4,-0.9,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,AG,grass,0.065527811,1.414210892,22.48030131,0.168601448,6.836553139,38.86550897,20.68602207,-0.35,-0.95,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,CD,woody,0.059295245,1.265352421,16.38132203,0.397624231,9.208903371,14.91238209,13.74053315,-0.15,-1.4,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,CD,woody,0.059415501,1.240962585,16.98376543,0.313097268,9.552841814,17.49676983,11.72338104,-0.3,-1.45,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,CD,woody,0.086243463,1.820741419,17.87964654,0.339156222,8.962810384,25.42883109,20.31440298,-0.45,-1.15,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,SC,forb,0.012581035,0.29101203,19.34185039,0.40448849,8.570716922,3.110356814,3.395422255,-0.35,-1.4,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,SC,forb,0.011475791,0.266583878,16.21254835,0.386661847,11.14542521,2.967914058,2.391868168,-0.3,-1,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,SC,forb,0.006636881,0.149370653,14.92113285,0.367416412,12.20357197,1.806364966,1.223991247,-0.2,-1.45,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,VB,forb,0.021966555,0.507874611,14.30459888,0.416093982,7.397704857,5.279229234,6.865299721,-0.3,-0.8,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,VB,forb,0.020818471,0.47347143,15.44640182,0.277720336,5.953879659,7.496199617,7.952317763,-0.35,-0.95,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,VB,forb,0.014415712,0.331124789,10.4080291,0.222747718,5.120705534,6.471766209,6.46638996,-0.35,-1.1,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,AC,woody,0.00136077,0.031834565,16.35815963,0.202826432,4.471052906,0.635796908,0.670351685,-0.2,-1.5,0.213,26.62,0.907746724,27.63,1.261444624,
2014,169,AC,woody,0.017238385,0.388701783,15.43524071,0.213625659,6.200265419,8.499082344,8.693741522,-0.25,-1.1,0.213,26.62,0.907746724,27.63,1.261444624,
